month,product_group,monthly_first_premium_flow,monthly_first_premium_yoy,monthly_first_premium_ma3,monthly_renewal_premium_flow,monthly_renewal_premium_yoy,monthly_renewal_premium_ma3,lump_sum_first_premium_flow,lump_sum_first_premium_yoy,total_amount_flow,total_amount_yoy,total_amount_ma3
2025-03,원리금보장형장기손해보험합계,107725244,0.040020805218580945,87019799.66666667,5795145173,0.06499690486942981,5758124663.666667,1255638,1.922554097001476,6009675217,0.07544402316073055,5927165185.666667
2025-03,개인보험,107129990,0.04158016508317702,86492643,5772308543,0.06529653364650151,5735301993.333333,1255638,1.922554097001476,5985782151,0.07584293995958999,5903534392.333333
2025-03,보장성보험,107005234,0.04876424586585841,86337738.66666667,5747927370,0.06851278530325175,5709975757,242638,-0.3253256599857878,5909610305,0.07033455989940637,5842639536
2025-03,저축성보험,124756,-0.8485060880744579,154904.33333333334,24381173,-0.376881772100286,25326236.333333332,1013000,13.471428571428572,76171846,0.7908982159854991,60894856.333333336
2025-03,단체보험,595254,-0.18072485426806864,527156.6666666666,22836630,-0.005692031848352301,22822670.333333332,0,,23893066,-0.015965761300942485,23630793.333333332
2025-03,표준형,44282118,-0.21599408707056816,40298239,4603248432,0.02006628398250923,4589932452,242638,-0.3253256599857878,4691709334,0.022835248275570614,4670080256.666667
2025-03,무저해지환급형,62723116,0.37707851838854156,46039499.666666664,1144678938,0.32076881346655917,1120043305,0,,1217900971,0.30353113006112675,1172559279.3333333
2025-03,표준형_질병보험,8418050,-0.5027667278886272,7605828.666666667,1258938022,-0.02306118822152358,1259866435.6666667,7968,-0.900098722723052,1269295419,-0.02947657147527629,1269088558.3333333
2025-03,표준형_상해,11210865,-0.23567127259890266,10394134,1363297163,-0.010792673855225489,1363838423.6666667,21201,0.013432122370936902,1380599645,-0.01248547352959,1378205592
2025-03,표준형_실손의료,4231930,-0.003913406746313122,3646929.6666666665,311993560,0.24090152838171236,304857744.6666667,0,,317000856,0.23644361253081952,309056996.6666667
